 STATE_11123:0 "Daxinganling"
 STATE_11124:0 "Ergun"
 STATE_11125:0 "Hulituxiang"
 STATE_11126:0 "Jalaid"
 STATE_11127:0 "Jiagedaqi"
 STATE_11128:0 "Mohe"
 STATE_11129:0 "Morindawa"
 STATE_11130:0 "Oroqen"
 STATE_11131:0 "Weichang"
 STATE_11132:0 "Ningcheng"
 STATE_11133:0 "Horqin"
 STATE_11134:0 "Nurimuzhen"
 STATE_11135:0 "Phuxin"
 STATE_11136:0 "Dalianhe"
 STATE_11137:0 "Dzhana"
 STATE_11138:0 "Kolokol"
 STATE_11139:0 "Minyixiang"
 STATE_11140:0 "Ongon"
 STATE_11141:0 "Qiqihar"
 STATE_11142:0 "Bomnak"
 STATE_11143:0 "Longjiang"
 STATE_11144:0 "Udskoje"
 STATE_11145:0 "Zhaoyuan"
 STATE_11146:0 "Jianping"
 STATE_11147:0 "Achisay"
 STATE_11148:0 "Alabuka"
 STATE_11149:0 "Baydibek"
 STATE_11150:0 "Daroot"
 STATE_11151:0 "Karakuldja"
 STATE_11152:0 "Kendjylga"
 STATE_11153:0 "Mynaral"
 STATE_11154:0 "Mynbulak"
 STATE_11155:0 "Tansyk"
 STATE_11156:0 "Mayma"
 STATE_11157:0 "Karatal"
 STATE_11158:0 "Kurshim"
 STATE_11159:0 "Sheregesh"
 STATE_11161:0 "Manali"
 STATE_11162:0 "Srinagar"
 STATE_11163:0 "Udaipur"
 STATE_11164:0 "Valga"
 STATE_11165:0 "TibetState"
 STATE_11166:0 "TibetState"
 STATE_11167:0 "TibetState"
 STATE_11168:0 "Andjian"
 STATE_11169:0 "Fergana"
 STATE_11170:0 "Shahrtuz"
 STATE_11171:0 "Irkeshtam"
 STATE_11172:0 "Svetlinsky"
 STATE_11173:0 "Kartalinsky"
 STATE_11174:0 "Aksu"
 STATE_11175:0 "Chinggil"
 STATE_11176:0 "Khalkhgol"
 STATE_11177:0 "Matad"
 STATE_11178:0 "Bayan Oelgiy"
 STATE_11179:0 "Bugat"
 STATE_11180:0 "Uvs"
 STATE_11181:0 "Murun"
 STATE_11182:0 "Ayakum"
 STATE_11183:0 "Kusai"
 STATE_11184:0 "Gasi"
 STATE_11185:0 "Tianshui"
 STATE_11186:0 "Baiyin"
 STATE_11187:0 "Weiyuan"
 STATE_11188:0 "Longxi"
 STATE_11189:0 "Zhang"
 STATE_11190:0 "Min"
 STATE_11191:0 "Lintan"
 STATE_11192:0 "Changzhi"
 STATE_11193:0 "Wenchuan"
 STATE_11194:0 "Xiaojin"
 STATE_11195:0 "Jinchuan"
 STATE_11196:0 "Barkam"
 STATE_11197:0 "Zamtang"
 STATE_11198:0 "Mao"
 STATE_11199:0 "Songpan"
 STATE_11200:0 "Jiuzhaigou"
 STATE_11201:0 "Zoige"
 STATE_11202:0 "Xichang"
 STATE_11203:0 "Jilin"
 STATE_11204:0 "Dunhua"
 STATE_11205:0 "Rongcheng"
 STATE_11206:0 "Rushan"
 STATE_11207:0 "Longkou"
 STATE_11208:0 "Laiyang"
 STATE_11209:0 "Laizhou"
 STATE_11210:0 "Changyi"
 STATE_11211:0 "Gaomi"
 STATE_11212:0 "Huangdao"
 STATE_11213:0 "Dingtao"
 STATE_11214:0 "Muden"
 STATE_11215:0 "Shouguang"
 STATE_11216:0 "Anqiu"
 STATE_11217:0 "Linqu"
 STATE_11218:0 "Qingzhou"
 STATE_11219:0 "Kenli"
 STATE_11220:0 "Lijin"
 STATE_11221:0 "Linyi"
 STATE_11222:0 "Junan"
 STATE_11223:0 "Ju"
 STATE_11224:0 "Lanying"
 STATE_11225:0 "Shanting"
 STATE_1226:0 "Mengyin"
 STATE_11227:0 "Taian"
 STATE_11228:0 "Rencheng"
 STATE_11229:0 "Juye"
 STATE_11230:0 "Feicheng"
 STATE_11231:0 "Xintai"
 STATE_11232:0 "Dongchangfu"
 STATE_11233:0 "Decheng"
 STATE_11234:0 "Pingyuan"
 STATE_11235:0 "Laoling"
 STATE_11236:0 "Handan"
 STATE_11237:0 "She"
 STATE_11238:0 "Renze"
 STATE_11239:0 "Wei"
 STATE_11240:0 "Xindu"
 STATE_11241:0 "Jing"
 STATE_11242:0 "Wuyi"
 STATE_11243:0 "Laocheng"
 STATE_11244:0 "Pingshan"
 STATE_11245:0 "Zhengding"
 STATE_11246:0 "Xinle"
 STATE_11247:0 "Yanshan"
 STATE_11248:0 "Haixing"
 STATE_11249:0 "Huanghua"
 STATE_11250:0 "Cangzhou"
 STATE_11251:0 "Hejian"
 STATE_11252:0 "Fuping"
 STATE_11253:0 "Laiyuan"
 STATE_11254:0 "Yi"
 STATE_11255:0 "Laishui"
 STATE_11256:0 "Bazhou"
 STATE_11257:0 "Haibin"
 STATE_11258:0 "Chongli"
 STATE_11259:0 "Chicheng"
 STATE_11260:0 "Guyuan"
 STATE_11261:0 "Kangbao"
 STATE_11262:0 "Yangyuan"
 STATE_11263:0 "Zhuolu"
 STATE_11264:0 "Yuncheng"
